street_name,place,address,lat,lon,importance
BT BATOK EAST AVE 3,bukit BATOK EAST AVE 3 Singapore,"Bukit Batok East Avenue 3, Bukit Batok, Southwest, 658064, Singapore",1.3401314,103.7598087,0.71
TAMAN HO SWEE,TAMAN HO SWEE Singapore,"Taman Ho Swee, Bukit Ho Swee View, Bukit Merah, Singapore, Central, 161022, Singapore",1.2878226,103.831535,0.485
TELOK BLANGAH CRES,TELOK BLANGAH CRES Singapore,"Telok Blangah Crescent, Bukit Merah, Singapore, Central, Singapore",1.2774161,103.8190622,0.61
BEO CRES,BEO CRES Singapore,"The Beo Crescent, Bukit Merah, Singapore, Central, Singapore",1.2891495,103.82677,0.51
TELOK BLANGAH DR,TELOK BLANGAH DR Singapore,"Telok Blangah Drive, Bukit Merah, Singapore, Central, 109257, Singapore",1.272321,103.8119045,0.51
DEPOT RD,DEPOT RD Singapore,"Depot Road, Bukit Merah, Singapore, Central, 109754, Singapore",1.2815679,103.8110375,0.31
TELOK BLANGAH RISE,TELOK BLANGAH RISE Singapore,"Telok Blangah Rise, Radin Mas, Bukit Merah, Singapore, Central, 098915, Singapore",1.2737061,103.8201739,0.51
JLN BT MERAH,jalan bukit MERAH Singapore,"Jalan Bukit Merah, Bukit Merah, Singapore, Central, 169207, Singapore",1.2816289,103.8242173,0.51
HENDERSON RD,HENDERSON RD Singapore,"Henderson Road, Bukit Merah, Singapore, Central, 159545, Singapore",1.2833245,103.8201387,0.31
INDUS RD,INDUS RD Singapore,"Indus Road, Bukit Merah, Singapore, Central, 169640, Singapore",1.290414,103.8296358,0.31
BT MERAH VIEW,bukit MERAH VIEW Singapore,"Bukit Merah View, Bukit Merah, Singapore, Central, Singapore",1.28350915,103.8233249,0.61
HENDERSON CRES,HENDERSON CRES Singapore,"Henderson Crescent, Hendersonville, Bukit Merah, Singapore, Central, 151106, Singapore",1.2891747,103.8227354,0.385
BT PURMEI RD,bukit PURMEI RD Singapore,"Bukit Purmei Road, Bukit Purmei Ville, Bukit Merah, Singapore, Central, 90112, Singapore",1.273715,103.8259825,0.41
TELOK BLANGAH HTS,TELOK BLANGAH HTS Singapore,"Telok Blangah Heights, Bukit Merah, Singapore, Central, 100059, Singapore",1.2750703,103.8147364,0.51
EVERTON PK,EVERTON PK Singapore,"Everton Park, Bukit Merah, Singapore, Central, Singapore",1.2771286,103.8393679,0.41
KG BAHRU HILL,kampong BAHRU HILL Singapore,"Kampong Bahru, Jalan Noordin, North-Eastern Islands, Southeast, 508309, Singapore",1.4175875,103.9695481,0.311
REDHILL CL,REDHILL CL Singapore,"Redhill Close, Redhill Gardens, Bukit Merah, Singapore, Central, 151012, Singapore",1.2858773,103.8166034,0.41
HOY FATT RD,HOY FATT RD Singapore,"Hoy Fatt Road, Bukit Merah, Singapore, Central, 151028, Singapore",1.286851,103.8103705,0.41
HAVELOCK RD,HAVELOCK RD Singapore,"Havelock Road, Robertson Quay, Singapore River, Singapore, Central, 169631, Singapore",1.2888303,103.8370051,0.31
JLN KLINIK,jalan KLINIK Singapore,"Jalan Klinik, Bukit Ho Swee Court, Bukit Merah, Singapore, Central, 161022, Singapore",1.2880059,103.8288153,0.385
JLN RUMAH TINGGI,jalan RUMAH TINGGI Singapore,"Jalan Rumah Tinggi, Bukit Merah, Singapore, Central, 150035, Singapore",1.2876848,103.8095884,0.51
JLN BT HO SWEE,jalan bukit HO SWEE Singapore,"Jalan Bukit Ho Swee, Bukit Merah, Singapore, Central, 169567, Singapore",1.2881198,103.8255673,0.61
KIM CHENG ST,KIM CHENG ST Singapore,"Kim Cheng Street, Tiong Bahru Estate, Bukit Merah, Singapore, Central, 169715, Singapore",1.2845581,103.8319423,0.51
MOH GUAN TER,MOH GUAN TER Singapore,"Moh Guan Terrace, Tiong Bahru Estate, Bukit Merah, Singapore, Central, 160078, Singapore",1.2837705,103.8309072,0.51
TELOK BLANGAH WAY,TELOK BLANGAH WAY Singapore,"Telok Blangah Way, Bukit Merah, Singapore, Central, 098915, Singapore",1.2765833,103.8184943,0.51
KIM TIAN RD,KIM TIAN RD Singapore,"Kim Tian Road, Bukit Merah, Singapore, Central, 169252, Singapore",1.2846609,103.8294951,0.41
KIM TIAN PL,KIM TIAN PL Singapore,"Kim Tian (Star) Hotel, 4, Lorong 6 Geylang, Geylang, Southeast, 399166, Singapore",1.3114355,103.8762403,0.311
EMPRESS RD,EMPRESS RD Singapore,"Empress Road, Tanglin, Singapore, Central, 268853, Singapore",1.3166544,103.8068798,0.31
QUEEN'S RD,QUEEN'S RD Singapore,"Queen's Road, Bukit Timah, Northwest, 268097, Singapore",1.31932,103.8081976,0.41
FARRER RD,FARRER RD Singapore,"Farrer Road, 71, Farrer Road, Tanglin, Singapore, Central, 268853, Singapore",1.31748125,103.8075626,0.59696034
JLN KUKOH,jalan KUKOH Singapore,"Jalan Kukoh, Chinatown, Outram, Singapore, Central, 169875, Singapore",1.2875799,103.8396593,0.385
OUTRAM PK,OUTRAM PK Singapore,"Outram Park, Bukit Pasoh Road, Chinatown, Outram, Singapore, Central, 088765, Singapore",1.2808682,103.8398841,0.621369233
SHORT ST,SHORT ST Singapore,"Short Street, Rochor, Singapore, Central, 189970, Singapore",1.3030276,103.8511011,0.41
SELEGIE RD,SELEGIE RD Singapore,"Selegie Road, Rochor, Singapore, Central, 228673, Singapore",1.3049244,103.85081,0.31
UPP CROSS ST,upper CROSS ST Singapore,"Upper Cross Street, Chinatown, Outram, Singapore, Central, 160051, Singapore",1.2872235,103.8424948,0.51
WATERLOO ST,WATERLOO ST Singapore,"Waterloo Street, Rochor, Singapore, Central, 188977, Singapore",1.2997254,103.8523417,0.41
QUEEN ST,QUEEN ST Singapore,"Queen Street, Rochor, Singapore, Central, 188546, Singapore",1.3013332,103.8549515,0.41
BUFFALO RD,BUFFALO RD Singapore,"Buffalo Road, Rochor, Singapore, Central, 229900, Singapore",1.3072583,103.8500308,0.31
ROWELL RD,ROWELL RD Singapore,"Rowell Road, Rochor, Singapore, Central, 200641, Singapore",1.3079022,103.8559131,0.31
ROCHOR RD,ROCHOR RD Singapore,"Rochor Road, Rochor, Singapore, Central, 189969, Singapore",1.3029591,103.8538529,0.31
BAIN ST,BAIN ST Singapore,"Bain Street, Downtown Core, Singapore, Central, 188726, Singapore",1.2968452,103.8543064,0.41
SMITH ST,SMITH ST Singapore,"Smith Street, Chinatown, Outram, Singapore, Central, 058972, Singapore",1.2831765,103.8426752,0.41
VEERASAMY RD,VEERASAMY RD Singapore,"Veerasamy Road, Rochor, Singapore, Central, 209753, Singapore",1.3075263,103.8539906,0.31
TECK WHYE AVE,TECK WHYE AVE Singapore,"Teck Whye Avenue, Choa Chu Kang, Southwest, 680026, Singapore",1.3775876,103.756164,0.51
TECK WHYE LANE,TECK WHYE LANE Singapore,"Teck Whye Lane, Choa Chu Kang, Southwest, 680137, Singapore",1.3796994,103.7527165,0.51
CLEMENTI AVE 3,CLEMENTI AVE 3 Singapore,"Clementi Avenue 3, Clementi, Southwest, 120431, Singapore",1.3140358,103.7635088,0.51
WEST COAST DR,WEST COAST DR Singapore,"West Coast Drive, Clementi, Southwest, 127790, Singapore",1.313183,103.7599415,0.51
CLEMENTI AVE 2,CLEMENTI AVE 2 Singapore,"Clementi Avenue 2, Clementi, Southwest, 120331, Singapore",1.3137279,103.7684354,0.51
CLEMENTI AVE 5,CLEMENTI AVE 5 Singapore,"Clementi Avenue 5, Clementi, Southwest, 120345, Singapore",1.3173305,103.7691009,0.51
CLEMENTI AVE 4,CLEMENTI AVE 4 Singapore,"Clementi Avenue 4, Clementi, Southwest, 122311, Singapore",1.3194174,103.7663111,0.51
CLEMENTI AVE 1,CLEMENTI AVE 1 Singapore,"Clementi Avenue 1, Clementi, Southwest, 129956, Singapore",1.3079966,103.770297,0.51
WEST COAST RD,WEST COAST RD Singapore,"West Coast Road, Clementi, Southwest, 600409, Singapore",1.3177211,103.7494615,0.41
CLEMENTI WEST ST 1,CLEMENTI WEST ST 1 Singapore,"Clementi West Street 1, Clementi, Southwest, 120601, Singapore",1.3048862,103.7662478,0.585
CLEMENTI WEST ST 2,CLEMENTI WEST ST 2 Singapore,"Clementi West Street 2, Clementi, Southwest, 120720, Singapore",1.3020268,103.763772,0.61
CLEMENTI ST 13,CLEMENTI ST 13 Singapore,"Clementi Street 13, Sunset Way Residence, Ulu Pandan, Northwest, 120113, Singapore",1.3233254,103.7705187,0.485
C'WEALTH AVE WEST,C'WEALTH AVE WEST Singapore,"Commonwealth Station Exit A/D, Commonwealth Avenue, Queenstown, Singapore, Central, 149735, Singapore",1.3020355,103.7983964,0.411
CLEMENTI AVE 6,CLEMENTI AVE 6 Singapore,"Clementi Avenue 6, Clementi, Southwest, 129814, Singapore",1.3303122,103.7640138,0.51
CLEMENTI ST 14,CLEMENTI ST 14 Singapore,"Clementi Street 14, Sunset Way Residence, Clementi, Northwest, 120103, Singapore",1.3226864,103.7683005,0.485
CIRCUIT RD,CIRCUIT RD Singapore,"Circuit Road, Geylang, Southeast, 371066, Singapore",1.3265711,103.8882676,0.31
MACPHERSON LANE,MACPHERSON LANE Singapore,"MacPherson Lane, Macpherson View, Geylang, Southeast, 371027, Singapore",1.3312482,103.8854337,0.41
JLN PASAR BARU,jalan PASAR BARU Singapore,"Malay Heritage Centre, 85, Sultan Gate, Rochor, Singapore, Central, 198501, Singapore",1.30286515,103.8598269,0.510470108
GEYLANG SERAI,GEYLANG SERAI Singapore,"Geylang Serai, Geylang, Southeast, 403002, Singapore",1.3170114,103.897395,0.41
EUNOS CRES,EUNOS CRES Singapore,"Eunos Crescent, Geylang, Southeast, Singapore",1.3207219,103.9036667,0.51
SIMS DR,SIMS DR Singapore,"Sims Drive, Geylang, Southeast, 380045, Singapore",1.3168076,103.8779846,0.41
ALJUNIED CRES,ALJUNIED CRES Singapore,"Aljunied Crescent, Geylang East Central, Geylang, Southeast, 380108, Singapore",1.3193329,103.8857789,0.41
GEYLANG EAST AVE 1,GEYLANG EAST AVE 1 Singapore,"Geylang East Avenue 1, Geylang, Southeast, 389780, Singapore",1.3162265,103.8850665,0.61
DAKOTA CRES,DAKOTA CRES Singapore,"Dakota Crescent, Marine Parade, Southeast, 397971, Singapore",1.3081224,103.8879572,0.41
PINE CL,PINE CL Singapore,"Pine Close, Geylang, Southeast, 399718, Singapore",1.3088094,103.8824903,0.385
HAIG RD,HAIG RD Singapore,"Haig Road, Geylang, Southeast, 437157, Singapore",1.315504,103.8948204,0.31
BALAM RD,BALAM RD Singapore,"Balam Road, Balam Gardens, Geylang, Southeast, 371028, Singapore",1.3307107,103.8873169,0.385
JLN DUA,jalan DUA Singapore,"Jalan Dua, Geylang, Southeast, 391092, Singapore",1.3089911,103.8889383,0.41
GEYLANG EAST CTRL,GEYLANG EAST central Singapore,"Geylang East Central, Geylang, Southeast, Singapore",1.32027145,103.8873826,0.61
